source_id,feature_id,sentiment
d309f368-cae5-459c-9b01-2c225f71b328,ui_ux_design,1
390abed0-6558-45dd-b233-272d8a9f9958,ui_ux_design,-1
390abed0-6558-45dd-b233-272d8a9f9958,performance_speed,-1
c46f3d44-6a93-49ff-9f22-b363129c21af,_none,0
9afd00fc-2930-4185-a439-0b33ce4f87a1,_none,0
37f15095-b715-4e39-b301-60b1e8abf54b,login_authentication,-1
89cd019d-a5e9-43ee-b412-61a8e5c20c8d,_none,0
4bd773e6-9d01-4066-b41f-3f009f5fd59d,_none,0
4cd61406-5a76-4414-ab93-178a476d525a,credit_system_pricing,0
4cd61406-5a76-4414-ab93-178a476d525a,wants_free_tier,0
c35085af-ec5f-4177-84d9-df9d7250af5e,_none,0
3e09e6fb-825d-44f5-bee7-e82ce9e38fbf,loves_concept_overall,1
a2491cbc-36f4-499e-91a1-628998d1f2a4,performance_speed,-1
a8f943ce-7f81-46b7-bce7-3fee4baa2c4f,credit_system_pricing,0
6dc5d0d6-944f-4e7e-90fa-6d487b22bc3b,character_consistency,-1
6dc5d0d6-944f-4e7e-90fa-6d487b22bc3b,app_vs_web_parity,-1
b6ef9f6c-2e9c-4309-8dbd-da680d1956e6,download_export,-1
b6ef9f6c-2e9c-4309-8dbd-da680d1956e6,app_vs_web_parity,-1
5a10555a-5613-473a-954d-400b89654463,app_vs_web_parity,1
5a10555a-5613-473a-954d-400b89654463,finally_mobile_companion,1
69ff5a52-f84a-4cd4-8609-14808ded5500,app_vs_web_parity,0
69ff5a52-f84a-4cd4-8609-14808ded5500,download_export,-1
69ff5a52-f84a-4cd4-8609-14808ded5500,beta_patience,0
9635289b-e833-4821-8147-a1b9bc673ea6,extend_video_feature,-1
9635289b-e833-4821-8147-a1b9bc673ea6,video_duration_length,-1
c2e99102-47fb-48a7-b914-596794474088,crashes_errors,-1
c2e99102-47fb-48a7-b914-596794474088,content_moderation,-1
6d023a2f-a258-475f-9a52-948a4c1fad0f,_none,0
2b12d5c3-f50b-4de1-97ec-d542dd813649,_none,0
3757dc50-fe1f-43f9-93b0-ccf9e027aaa0,app_vs_web_parity,-1
3757dc50-fe1f-43f9-93b0-ccf9e027aaa0,download_resolution,-1
a99ccae0-b6bd-4a1a-a7d4-81ec4d301efc,_none,0
4bb82a8c-2fea-4a37-96e4-542279d9ea4f,_none,0
0bbbd579-a0ae-487e-9d33-19305afaae56,loves_concept_overall,1
e48a60f4-9b70-42f0-996d-ca1a8babd02a,login_authentication,-1
2cdaad67-31e8-4764-a6bf-c431fc682a33,_none,0
bdb1dec3-3c8e-43c0-a202-b29d1df2f78a,app_vs_web_parity,-1
bdb1dec3-3c8e-43c0-a202-b29d1df2f78a,video_generation_quality,-1
3c849fba-3494-40f4-979f-adfd245823d6,credit_system_pricing,-1
3c849fba-3494-40f4-979f-adfd245823d6,wants_free_tier,0
040b8e97-8cb9-4821-8d99-65e6241655d1,download_export,0
2db93a48-1f8f-4de4-86ef-084a519d6ec3,_none,0
128d5c5d-c775-430c-8080-d0c7e87ab737,loves_concept_overall,1
